OBJECTID,stop_UID,stop_agency,stop_id,route_id
177,MTS_10196,MTS,10196,1
178,MTS_10197,MTS,10197,12
179,MTS_10198,MTS,10198,11
180,MTS_10201,MTS,10201,1
181,MTS_10203,MTS,10203,4
182,MTS_10204,MTS,10204,1
183,MTS_10205,MTS,10205,12
184,MTS_10206,MTS,10206,3
185,MTS_10207,MTS,10207,4
186,MTS_10208,MTS,10208,7
187,MTS_10210,MTS,10210,18
188,MTS_10214,MTS,10214,12
189,MTS_10215,MTS,10215,20
190,MTS_10216,MTS,10216,4
191,MTS_10219,MTS,10219,965
192,MTS_10220,MTS,10220,12
193,MTS_10221,MTS,10221,5
194,MTS_10223,MTS,10223,3
195,MTS_10224,MTS,10224,11
196,MTS_10225,MTS,10225,5
197,MTS_10227,MTS,10227,12
198,MTS_10228,MTS,10228,929
199,MTS_10228,MTS,10228,955
200,MTS_10228,MTS,10228,968
201,MTS_10229,MTS,10229,20
202,MTS_10230,MTS,10230,965
203,MTS_10231,MTS,10231,3
204,MTS_10232,MTS,10232,4
205,MTS_10235,MTS,10235,12
206,MTS_10235,MTS,10235,3
207,MTS_10236,MTS,10236,3
208,MTS_10237,MTS,10237,13
209,MTS_10237,MTS,10237,14
210,MTS_10238,MTS,10238,10
211,MTS_10238,MTS,10238,7
212,MTS_10242,MTS,10242,7
213,MTS_10247,MTS,10247,1
214,MTS_10250,MTS,10250,215
215,MTS_10252,MTS,10252,10
216,MTS_10252,MTS,10252,7
217,MTS_10253,MTS,10253,14
218,MTS_10254,MTS,10254,705
219,MTS_10254,MTS,10254,929
220,MTS_10255,MTS,10255,12
221,MTS_10256,MTS,10256,14
222,MTS_10257,MTS,10257,1
223,MTS_10258,MTS,10258,11
224,MTS_10258,MTS,10258,955
225,MTS_10259,MTS,10259,12
226,MTS_10260,MTS,10260,1
227,MTS_10261,MTS,10261,917
228,MTS_10262,MTS,10262,215
229,MTS_10263,MTS,10263,12
230,MTS_10264,MTS,10264,917
231,MTS_10266,MTS,10266,916
232,MTS_10267,MTS,10267,917
233,MTS_10268,MTS,10268,12
234,MTS_10271,MTS,10271,945
235,MTS_10272,MTS,10272,929
236,MTS_10272,MTS,10272,933
237,MTS_10273,MTS,10273,4
238,MTS_10274,MTS,10274,14
239,MTS_10276,MTS,10276,4
240,MTS_10277,MTS,10277,945
241,MTS_10278,MTS,10278,916
242,MTS_10279,MTS,10279,945
243,MTS_10280,MTS,10280,12
244,MTS_10284,MTS,10284,14
245,MTS_10286,MTS,10286,4
246,MTS_10286,MTS,10286,961
247,MTS_10287,MTS,10287,12
248,MTS_10288,MTS,10288,852
249,MTS_10290,MTS,10290,1
250,MTS_10291,MTS,10291,4
251,MTS_10292,MTS,10292,4
252,MTS_10293,MTS,10293,12
253,MTS_10294,MTS,10294,852
254,MTS_10296,MTS,10296,12
255,MTS_10299,MTS,10299,12
256,MTS_10303,MTS,10303,1
257,MTS_10306,MTS,10306,1
258,MTS_10307,MTS,10307,12
259,MTS_10308,MTS,10308,852
260,MTS_10310,MTS,10310,1
261,MTS_10311,MTS,10311,115
