"OBJECTID","stop_uid","stop_agency","stop_id.x","route_id","objectid","stop_id.y","stop_code","stop_name","stop_lat","stop_lon","stop_agncy","wheelchair","intersec","stop_place","parent_sta","lat","lng","geometry"
"54",4629,"MTS_75046","MTS",75046,"530",3548,"75046",75046,"Fashion Valley Station",32.765471,-117.169152,"MTS",0,NA,"favS","favS",32.7654662724546,-117.169139995737,c(-117.169139995737, 32.765466271595)
"56",4631,"MTS_75048","MTS",75048,"530",3550,"75048",75048,"Hazard Center Station",32.770257,-117.158152,"MTS",0,NA,"hazS","hazS",32.7702523515227,-117.158139996591,c(-117.158139996591, 32.770252350663)
"58",4633,"MTS_75050","MTS",75050,"530",3552,"75050",75050,"Mission Valley Center Station",32.771083,-117.149856,"MTS",0,NA,"mivS","mivS",32.7710783010629,-117.149844198073,c(-117.149844198073, 32.7710783002032)
"60",4635,"MTS_75052","MTS",75052,"530",3554,"75052",75052,"Rio Vista Station",32.773633,-117.141967,"MTS",0,NA,"rioS","rioS",32.7736282002268,-117.141955099521,c(-117.141955099521, 32.7736281993671)
"62",4637,"MTS_75054","MTS",75054,"530",3556,"75054",75054,"Fenton Parkway Station",32.77827,-117.127237,"MTS",0,NA,"fenS","fenS",32.7782652486197,-117.127225201816,c(-117.127225201816, 32.77826524776)
"64",4639,"MTS_75058","MTS",75058,"530",3560,"75058",75058,"Mission San Diego Station",32.780983,-117.111105,"MTS",0,NA,"msdS","msdS",32.7809781174939,-117.111093104639,c(-117.111093104639, 32.7809781166341)
"66",4641,"MTS_75060","MTS",75060,"530",3562,"75060",75060,"Grantville Station",32.780398,-117.097384,"MTS",0,NA,"frmS","frmS",32.7803930970741,-117.09737210689,c(-117.09737210689, 32.7803930962142)
"68",4643,"MTS_75062","MTS",75062,"530",3564,"75062",75062,"SDSU Station",32.773275,-117.070638,"MTS",0,NA,"sdsS","sdsS",32.7732702471862,-117.070626311461,c(-117.070626311461, 32.7732702463265)
"70",4645,"MTS_75064","MTS",75064,"530",3566,"75064",75064,"Alvarado Station",32.777309,-117.056707,"MTS",0,NA,"avlS","avlS",32.7773042552932,-117.056695014047,c(-117.056695014047, 32.7773042544335)
"72",4647,"MTS_75066","MTS",75066,"520",3568,"75066",75066,"Encanto/62nd St Station",32.71013,-117.063361,"MTS",0,NA,"62nS","62nS",32.71012532402,-117.063349117402,c(-117.063349117402, 32.7101253231611)
